codigo,horas_semanales,horas_semanales_profe,horas_semanales_grupo,grupo,profesor,materia,aula,1,2,3,4,5,6,fecha_inicio,fecha_final,7,8,9,aula_propia,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33
3077,1,0,0,"1SMX B","05","84","20.2",,0,1.00000,,,,"20160706","20170630",0.00520,,,"20.2",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3077,1,0,0,"1SMX C","05","84","20.2",,0,1.00000,,,,"20160706","20170630",0.00520,,,"20.2",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3078,2,2,2,"1MAP","05","555","34",,20,2.00000,,,,"20160706","20170630",0.01040,,,"34",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3132,1,1,1,"1AF","11","34","31",,60,2.00000,,,,"20160706","20170630",0.01040,,,"31",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3132,1,1,0,"1ADI","11","591","31",,0,2.00000,,,,"20160706","20170630",0.01040,,,"31",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3079,4,4,4,"1AF","06","48","31",,30,4.00000,,,,"20160706","20170630",0.02080,,,"31",,,,"n",,,,,,,,,,0,0,,,,,400000,4.00000,,,
3080,4,4,4,"1ADI","06","586","30",,30,4.00000,,,,"20160706","20170630",0.02080,,,"30",,,,"n",,,,,,,,,,0,0,,,,,400000,4.00000,,,
3081,2,2,2,"1MAP","06","555","34",,20,2.00000,,,,"20160706","20170630",0.01040,,,"34",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3134,2,2,2,"2APD A","11","536","B1",,35,2.00000,,,,"20160706","20170630",0.01040,,,"B1",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3083,2,2,2,"2APD A","07","539","B1",,35,2.00000,,,,"20160706","20170630",0.01040,,,"B1",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3135,2,2,2,"2APD B","11","536","B1",,0,2.00000,,,,"20160706","20170630",0.01040,,,"B1",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3133,2,2,2,"2APD B","87","539","B1",,0,2.00000,,,,"20160706","20170630",0.01040,,,"B1",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3082,1,1,1,"2APD A","07","539","22",,35,1.00000,,,,"20160706","20170630",0.00520,,,"22",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3082,1,1,0,"2APD B","07","539","22",,35,1.00000,,,,"20160706","20170630",0.00520,,,"22",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3084,3,3,3,"2ES","07","63","ES",,30,3.00000,,,,"20160706","20170630",0.01560,,,"ES",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3588,1,1,1,"2FAR","13","83","14",,30,1.00000,,,,"20160706","20170630",0.00520,,,"14",,,,"Bn",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3139,1,1,1,"2FAR","13","83","B1",,30,1.00000,,,,"20160706","20170630",0.00520,,,"B1",,,,"n",,,,1,1,,,,,0,0,,,,,100000,1.00000,,,
3138,2,2,2,"2FAR","13","30","14",,30,2.00000,,,,"20160706","20170630",0.01040,,,"14",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3085,3,3,3,"2FAR","07","64","14",,30,3.00000,,,,"20160706","20170630",0.01560,,,"14",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3087,2,2,2,"2ADI","07","580","30",,0,2.00000,,,,"20160706","20170630",0.01040,,,"30",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3097,3,3,3,"2MAP","24","557","35",,0,3.00000,,,,"20160706","20170630",0.01560,,,"35",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3096,2,2,2,"2MAP","105","554","30",,0,2.00000,,,,"20160706","20170630",0.01040,,,,,,,"nX",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3095,3,3,3,"2MAP","105","554","35",,0,3.00000,,,,"20160706","20170630",0.01560,,,"35",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3094,3,3,3,"2MAP","105","552","35",,0,3.00000,,,,"20160706","20170630",0.01560,,,"35",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3093,2,2,2,"2MAP","106","550","30",,0,2.00000,,,,"20160706","20170630",0.01040,,,,,,,"nX",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3092,3,3,3,"2MAP","106","550","35",,0,3.00000,,,,"20160706","20170630",0.01560,,,"35",,,,"n",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3091,2,2,2,"2MAP","107","549","35",,0,2.00000,,,,"20160706","20170630",0.01040,,,"35",,,,"n",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3090,1,1,1,"2MAP","26","546","30",,0,1.00000,,,,"20160706","20170630",0.00520,,,,,,,"nX",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3089,1,1,1,"2MAP","26","546","35",,0,1.00000,,,,"20160706","20170630",0.00520,,,"35",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3088,2,2,2,"2MAP","105","546","35",,0,2.00000,,,,"20160706","20170630",0.01040,,,"35",,,,"nX",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,
3100,1,1,1,"2LCB","09","641","19",,25,1.00000,,,,"20160706","20170630",0.00520,,,"19",,,,"n",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3099,1,1,1,"2LCB","09","641","17",,25,1.00000,,,,"20160706","20170630",0.00520,,,"17",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,
3098,3,3,3,"2LCB","09","640","17",,25,3.00000,,,,"20160706","20170630",0.01560,,,"17",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3101,3,3,3,"1INS B","09","527","E9",,25,3.00000,,,,"20160706","20170630",0.01560,,,"E9",,,,"aBn",,,,,,,,,,0,0,,,,,300000,3.00000,,,
3103,2,2,2,"CAIC","09","19","12",,30,2.00000,,,,"20160706","20170630",0.01040,,,"12",,,,"n",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,
3102,2,2,2,"CAIC","09","15","12",,30,2.00000,,,,"20160706","20170630",0.01040,,,"12",,,,"aBn",,,,1,1,,,,,0,0,,,,,200000,2.00000,,,
3104,2,2,2,"1INS A","10","527","B2",,35,2.00000,,,,"20160706","20170630",0.01040,,,"B2",,,,"aBn",,,,,,,,,,0,0,,,,,200000,2.00000,,,
3106,1,1,1,"1INS A","10","527","B1",,35,1.00000,,,,"20160706","20170630",0.00520,,,"B1",,,,"aBn",,,,,,,,,,0,0,,,,,100000,1.00000,,,
