codigo,nombre,1,2,aula,4,5,6,7,8,9,10,11,12,13,codigo_estudio,estudio,14,15,16,nombre_corto,18
"549","2n MAP-M5 - Treball de camp en la investigació comercial",,,,,0,14,0,14,,,,,1.00000,"MAP","Màrqueting i publicitat",,,,"M 5",
"550","2n MAP-M6 - Llançament de productes i serveis",,,,,,,0,14,,,"1.00000",,1.00000,"MAP","Màrqueting i publicitat",,,,"M 6",
"552","2n MAP-M8 - Mitjans i suports de comunicació",,,,,,,0,14,,,"1.00000",,1.00000,"MAP","Màrqueting i publicitat",,,,"M 8",
"554","2n MAP-M10 - Relacions públiques i organització d'esdeveniments",,,,,,99,0,14,,,,,1.00000,"MAP","Màrqueting i publicitat",,,,"M 10",
"331","1r APD-M1 - Organització de l'atenció a persones en situació de dependència",,,,,14,,0,14,,,,,1.00000,"APD","Atenció a persones en situació de dependència",,,,"M 1",
"351","1r APD-M2 - Atenció sanitària",,,,,,,0,14,,,,,1.00000,"APD","Atenció a persones en situació de dependència",0,16777215,,"M 2",
"352","1r APD-M3 - Atenció higiènica",,,,,,,0,14,,,,,1.00000,"APD","Atenció a persones en situació de dependència",0,16777215,,"M 3",
"333","1r APD-M4 - Atenció i suport psicosocial",,,,,,,0,14,,,,,1.00000,"APD","Atenció a persones en situació de dependència",,,,"M 4",
"332","1r APD-M5 - Característiques i necessitats de les persones en situació de dependència",,,,,14,,0,14,,,,,1.00000,"APD","Atenció a persones en situació de dependència",,,,"M 5",
"526","1r APD-M11 - Formació i orientació laboral",,,,,,,0,14,,,"1.00000",,1.00000,"APD","Atenció a persones en situació de dependència",,,,"M 11",
"334","2n APD-M6 - Teleassistència",,,,,,,0,14,,,,,1.00000,"APD","Atenció a persones en situació de dependència",0,16777215,,"M 6",
"335","2n APD-M7 - Suport domiciliari",,,,,,,0,14,,,"0",,1.00000,"APD","Atenció a persones en situació de dependència",0,16777215,,"M 7",
"336","2n APD-M8 - Suport en la comunicació",,,,,,,0,14,,,"14",,1.00000,"APD","Atenció a persones en situació de dependència",,,,"M 8",
"338","2n APD-M9 - Destreses socials",,,,,,,0,14,,,,,1.00000,"APD","Atenció a persones en situació de dependència",0,16777215,,"M 9",
"337","2n APD-M10 - Primers auxilis",,,,,,,0,14,,,,,1.00000,"APD","Atenció a persones en situació de dependència",0,16777215,,"M 10",
