clase,grupo,profesor,materia,aula,dia,hora,duracion
3187,"1MEC","49","220","17",4,6,,
3188,"1MEC","58","224","17",5,4,,
3188,"1MEC","58","224","17",5,5,,
3188,"1MEC","49","224","TS",5,4,,
3188,"1MEC","49","224","TS",5,5,,
3189,"1MEC","55","225","TM1",1,4,,
3189,"1MEC","55","225","TM1",1,5,,
3189,"1MEC","55","225","TM1",1,6,,
3189,"1MEC","55","225","TM1",4,1,,
3189,"1MEC","55","225","TM1",4,2,,
3189,"1MEC","55","225","TM1",4,3,,
3189,"1MEC","55","225","TM1",5,1,,
3189,"1MEC","55","225","TM1",5,2,,
3189,"1MEC","55","225","TM1",5,3,,
3189,"1MEC","57","225","TM1",1,4,,
3189,"1MEC","57","225","TM1",1,5,,
3189,"1MEC","57","225","TM1",1,6,,
3189,"1MEC","57","225","TM1",4,1,,
3189,"1MEC","57","225","TM1",4,2,,
3189,"1MEC","57","225","TM1",4,3,,
3189,"1MEC","57","225","TM1",5,1,,
3189,"1MEC","57","225","TM1",5,2,,
3189,"1MEC","57","225","TM1",5,3,,
3191,"1MEC","53","222","33",2,1,,
3191,"1MEC","53","222","33",2,2,,
3191,"1MEC","53","222","E14",3,1,,
3191,"1MEC","53","222","E14",3,2,,
3190,"1MEC","55","225","17",5,6,,
3190,"1MEC","57","225","16",5,6,,
3192,"1MEC","53","221","17",3,4,,
3192,"1MEC","53","221","17",4,4,,
3192,"1MEC","53","221","17",4,5,,
3193,"2MEC","56","227","E14",1,7,,
3193,"2MEC","56","227","E14",1,8,,
3193,"2MEC","56","227","E14",1,9,,
3193,"2MEC","56","227","E14",4,9,,
3193,"2MEC","56","227","E14",4,10,,
3193,"2MEC","56","227","E14",4,11,,
3193,"2MEC","56","227","E14",5,9,,
3193,"2MEC","56","227","E14",5,10,,
3194,"2MEC","50","228","TM1",2,9,,
3194,"2MEC","50","228","TM1",2,10,,
3194,"2MEC","50","228","TM1",5,7,,
3194,"2MEC","50","228","TM1",5,8,,
3195,"2MEC","54","229","E14",3,8,,
3195,"2MEC","54","229","E14",3,9,,
3195,"2MEC","54","229","E14",4,7,,
3195,"2MEC","54","229","E14",4,8,,
3196,"2MEC","56","230","TM1",2,7,,
3196,"2MEC","56","230","TM1",2,8,,
3197,"1PPFM","51","237","E15",1,1,,
3197,"1PPFM","51","237","E15",1,2,,
3197,"1PPFM","51","237","E15",4,1,,
3198,"1PPFM","51","238","E16",2,3,,
3198,"1PPFM","51","238","E16",3,4,,
3198,"1PPFM","51","238","E16",4,3,,
3199,"1PPFM","54","239","E16",1,3,,
3199,"1PPFM","54","239","E16",1,4,,
3199,"1PPFM","54","239","E16",3,1,,
3199,"1PPFM","54","239","E16",3,2,,
3199,"1PPFM","54","239","E16",3,3,,
3200,"1PPFM","51","241","E16",2,4,,
3200,"1PPFM","51","241","E16",4,2,,
3200,"1PPFM","51","241","E16",5,5,,
3202,"1PPFM","55","242","TM1",4,4,,
3202,"1PPFM","55","242","TM1",4,5,,
3202,"1PPFM","55","242","TM1",4,6,,
3201,"1PPFM","55","242","TM1",2,1,,
3201,"1PPFM","55","242","TM1",2,2,,
3201,"1PPFM","50","242","TM1",2,1,,
3201,"1PPFM","50","242","TM1",2,2,,
3203,"1PPFM","52","491","E16",5,1,,
3203,"1PPFM","52","491","E16",5,2,,
3204,"1PPFM","52","243","E16",2,5,,
3204,"1PPFM","52","243","E16",2,6,,
3204,"1PPFM","52","243","E16",5,3,,
3204,"1PPFM","52","243","E16",5,4,,
3205,"2PPFM","51","249","E15",1,4,,
3206,"2PPFM","51","653","E15",1,5,,
3207,"2PPFM","55","250","E15",2,5,,
3208,"2PPFM","50","244","E15",1,3,,
3208,"2PPFM","50","244","E15",3,1,,
3208,"2PPFM","50","244","E15",3,2,,
3209,"2PPFM","54","245","E15",2,2,,
3209,"2PPFM","54","245","E15",2,3,,
3209,"2PPFM","54","245","E15",2,4,,
3209,"2PPFM","54","245","E15",5,2,,
3209,"2PPFM","54","245","E15",5,3,,
3210,"2PPFM","51","248","E15",5,4,,
3211,"2PPFM","55","246","TM1",3,3,,
3211,"2PPFM","55","246","TM1",3,4,,
